GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Simples Nacional,exception,BusinessLogicException,0,11,0,0,0,5,0,2,0,2
Simples Nacional,exception,FormatDataException,0,13,0,0,0,6,0,2,0,2
Simples Nacional,exception,ViewException,11,0,0,0,5,0,2,0,2,0
Simples Nacional,view,MainView,149,0,2,0,39,0,6,0,5,0
Simples Nacional,view,ShowDataView,66,0,2,0,22,0,8,0,7,0
Simples Nacional,model.entity.anexo,Anexo,60,120,12,0,20,22,13,2,7,2
Simples Nacional,model.entity.anexo,Anexo_II,0,15,0,0,0,4,0,1,0,1
Simples Nacional,model.entity.anexo,Anexo_I,0,15,0,0,0,4,0,1,0,1
Simples Nacional,model.entity.anexo,Anexo_V,0,15,0,0,0,4,0,1,0,1
Simples Nacional,model.entity.anexo,Anexo_IV,0,15,0,0,0,4,0,1,0,1
Simples Nacional,model.entity.anexo,Anexo_III,0,15,0,0,0,4,0,1,0,1
Simples Nacional,controller,MainController,53,195,9,10,15,53,9,11,0,7
Simples Nacional,util,ReadCsvFile,11,336,2,24,5,67,2,17,0,6
Simples Nacional,application,Program,36,0,0,0,9,0,2,0,2,0
Simples Nacional,model.service,GuiaService,14,107,4,4,3,22,3,4,0,3
Simples Nacional,model.service,SimplesNacionalService,28,258,3,33,7,53,9,27,6,12
Simples Nacional,model.entity,Nota,20,23,0,0,2,10,1,5,1,5
Simples Nacional,model.entity,Guia,12,51,0,0,6,12,3,5,3,5
Simples Nacional,model.entity.enums,Siglas,0,56,0,0,0,8,0,2,0,2
Simples Nacional,model.entity.enums,FaixasFaturamento,0,228,0,0,0,22,0,2,0,2
